Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [19200 baud] (Lambda)
6794,1.56,0.00,14.59,8,163,0.29,992,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.13,4.91,1.38,0.00,0.64,0.00
6866,0.78,0.00,14.47,8,163,0.29,984,0.00,0.00,14.70,16,9.88,10.00,77,5.51,-9.13,4.88,1.38,0.00,0.64,0.00
6939,1.56,0.00,14.59,8,163,0.30,992,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.13,4.85,1.38,0.00,0.64,0.00
7013,0.78,0.00,14.59,8,163,0.30,982,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.09,4.91,1.40,0.00,0.64,0.00
7085,0.78,0.00,14.59,8,163,0.30,984,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.09,4.91,1.40,0.00,0.64,0.00
7159,1.56,0.00,14.47,8,163,0.30,976,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-9.09,4.91,1.40,0.00,0.64,0.00
7232,0.78,0.00,14.59,8,163,0.30,989,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.05,4.91,1.40,0.00,0.64,0.00
7305,1.56,0.00,14.59,8,163,0.30,997,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.07,4.91,1.40,0.00,0.64,0.00
7378,0.78,0.00,14.47,8,163,0.30,992,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.07,4.88,1.38,0.00,0.64,0.00
7451,1.56,0.00,14.59,8,163,0.30,988,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.09,4.88,1.40,0.00,0.64,0.00
7524,1.56,0.00,14.47,8,163,0.30,982,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.07,4.85,1.40,0.00,0.64,0.00
7597,0.78,0.00,14.59,8,163,0.30,987,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.07,4.91,1.40,0.00,0.64,0.00
7670,1.56,0.00,14.59,8,163,0.30,980,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.07,4.85,1.38,0.00,0.64,0.00
7743,0.78,0.00,14.36,8,163,0.30,967,0.00,0.00,14.70,16,9.88,11.50,77,5.66,-9.01,4.85,1.38,0.00,0.64,0.00
7815,0.78,0.00,14.47,8,163,0.30,982,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.05,4.88,1.40,0.00,0.64,0.00
7889,0.78,0.00,14.47,8,163,0.29,994,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.07,4.91,1.38,0.00,0.64,0.00
7961,0.78,0.00,14.47,8,163,0.29,985,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-9.09,4.85,1.40,0.00,0.64,0.00
8035,0.78,0.00,14.47,8,163,0.30,991,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,4.85,1.40,0.00,0.64,0.00
8108,0.78,0.00,14.47,8,163,0.29,990,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,4.85,1.38,0.00,0.64,0.00
8181,0.78,0.00,14.59,8,163,0.30,988,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.11,4.91,1.40,0.00,0.64,0.00
Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [19200 baud] (Lambda),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
8327,0.78,0.00,14.59,8,163,0.30,991,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,4.91,1.40,0.00,0.64,0.00,0.00
8400,1.56,0.00,14.47,8,163,0.29,990,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,4.88,1.40,0.00,0.64,0.00,14.60
8473,0.78,0.00,14.59,8,163,0.29,993,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,4.85,1.40,0.00,0.64,0.00,14.60
8546,0.78,0.00,14.70,8,163,0.30,977,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.09,4.85,1.38,0.00,0.64,0.00,14.70
8619,1.56,0.00,14.70,8,163,0.30,988,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.09,4.91,1.38,0.00,0.64,0.00,14.70
8692,0.78,0.00,14.47,8,163,0.30,973,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-9.09,4.88,1.38,0.00,0.64,0.00,14.70
8764,1.56,0.00,14.59,8,163,0.30,980,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.07,4.85,1.40,0.00,0.64,0.00,14.70
8837,0.78,0.00,14.59,8,163,0.30,968,0.00,0.00,14.70,16,9.88,11.50,77,5.66,-9.01,4.91,1.40,0.00,0.64,0.00,14.70
8910,1.56,0.00,14.70,8,163,0.30,976,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.05,4.91,1.40,0.00,0.64,0.00,14.70
8984,0.78,0.00,14.59,8,163,0.30,970,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-9.03,4.91,1.40,0.00,0.64,0.00,14.70
9057,0.78,0.00,14.59,8,163,0.30,982,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.03,4.91,1.38,0.00,0.64,0.00,14.70
9131,1.56,0.00,14.59,8,163,0.30,985,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.91,1.38,0.00,0.64,0.00,14.70
9203,1.56,0.00,14.70,8,163,0.30,982,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-8.99,4.91,1.40,0.00,0.64,0.00,14.70
9276,1.56,0.00,14.70,8,163,0.30,994,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.05,4.91,1.40,0.00,0.64,0.00,14.70
9349,1.56,0.00,14.59,8,163,0.30,989,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.05,4.95,1.40,0.00,0.64,0.00,14.70
9422,0.78,0.00,14.59,8,163,0.30,978,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.07,4.91,1.40,0.00,0.64,0.00,14.80
9495,0.78,0.00,14.59,8,163,0.30,984,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.05,4.91,1.40,0.00,0.64,0.00,14.70
9568,0.78,0.00,14.47,8,163,0.30,968,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-9.01,4.91,1.40,0.00,0.64,0.00,14.70
9642,0.78,0.00,14.59,8,163,0.31,974,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.03,4.97,1.40,0.00,0.64,0.00,14.70
9715,0.78,0.00,14.47,8,163,0.31,967,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-8.99,4.97,1.40,0.00,0.64,0.00,14.70
9787,0.78,0.00,14.59,8,163,0.31,970,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-8.99,4.97,1.40,0.00,0.64,0.00,14.70
9861,1.56,0.00,14.70,8,163,0.30,985,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.01,4.95,1.40,0.00,0.64,0.00,14.70
Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
9933,0.78,0.00,14.59,8,163,0.30,989,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-8.99,4.97,1.40,0.00,0.64,14.60
