Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
37634,14.65,0.13,1234,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,189,0.00
37821,14.67,0.13,1235,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
38009,14.65,0.13,1227,0.00,0.00,16,10.59,11.50,5.30,-1.39,0.64,189,0.00
38212,14.74,0.13,1236,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
38401,14.79,0.13,1228,0.00,0.00,16,10.59,11.00,5.27,-1.39,0.64,189,0.00
38589,14.74,0.13,1224,0.00,0.00,16,10.59,11.50,5.30,-1.39,0.64,189,0.00
38792,14.72,0.13,1234,0.00,0.00,16,10.59,10.00,5.27,-1.39,0.64,189,0.00
38980,14.69,0.13,1247,0.00,0.00,16,10.59,9.00,5.33,-1.39,0.64,189,0.00
39167,14.74,0.13,1245,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,189,0.00
39355,14.73,0.13,1236,0.00,0.00,16,10.59,9.00,5.23,-1.39,0.64,189,0.00
39558,14.74,0.13,1230,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,189,0.00
39745,14.69,0.13,1234,0.00,0.00,16,10.59,9.50,5.27,-1.39,0.64,189,0.00
39933,14.76,0.13,1242,0.00,0.00,16,10.59,8.50,5.27,-1.39,0.64,189,0.00
40120,14.59,0.13,1251,0.00,0.00,16,10.59,9.00,5.27,-1.39,0.64,189,0.00
40308,14.62,0.13,1235,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,189,0.00
40495,14.65,0.13,1243,0.00,0.00,16,10.59,9.50,5.30,-1.39,0.64,189,0.00
40698,14.63,0.13,1246,0.00,0.00,16,10.59,9.50,5.21,-1.39,0.64,189,0.00
40886,14.63,0.13,1236,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
41073,14.65,0.13,1237,0.00,0.00,16,10.59,10.00,5.27,-1.39,0.64,189,0.00
41261,14.74,0.13,1249,0.00,0.00,16,10.59,9.50,5.21,-1.39,0.64,189,0.00
41448,14.72,0.13,1234,0.00,0.00,16,10.59,10.00,5.23,-1.39,0.64,189,0.00
41636,14.79,0.13,1248,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,189,0.00
41839,14.77,0.13,1244,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
42026,14.79,0.13,1242,0.00,0.00,16,10.59,9.50,5.27,-1.39,0.64,189,0.00
42214,14.79,0.13,1247,0.00,0.00,16,10.59,9.50,5.23,-1.39,0.64,189,0.00
42406,14.78,0.13,1246,0.00,0.00,16,10.59,9.50,5.27,-1.39,0.64,189,0.00
42593,14.81,0.13,1253,0.00,0.00,16,10.59,8.50,5.27,-1.39,0.64,189,0.00
42781,14.77,0.13,1236,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
42968,14.77,0.13,1228,0.00,0.00,16,10.59,11.50,5.30,-1.39,0.64,189,0.00
43171,14.74,0.13,1234,0.00,0.00,16,10.59,10.50,5.17,-1.39,0.64,189,0.00
43359,14.65,0.13,1231,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
43547,14.65,0.13,1248,0.00,0.00,16,10.59,10.50,5.21,-1.39,0.64,189,0.00
43734,14.69,0.13,1246,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,190,0.00
43921,14.77,0.13,1234,0.00,0.00,16,10.59,11.00,5.21,-1.39,0.64,190,0.00
44114,14.81,0.13,1231,0.00,0.00,16,10.59,10.50,5.21,-1.39,0.64,190,0.00
44301,14.76,0.13,1220,0.00,0.00,16,10.59,12.00,5.23,-1.39,0.64,190,0.00
44504,14.74,0.13,1224,0.00,0.00,16,10.59,11.50,5.21,-1.39,0.64,190,0.00
44685,14.70,0.13,1230,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,190,0.00
44873,14.61,0.13,1228,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,190,0.00
45076,14.74,0.13,1226,0.00,0.00,16,10.59,11.00,5.27,-1.39,0.64,190,0.00
45263,14.79,0.13,1239,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,190,0.00
45451,14.84,0.13,1232,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,190,0.00
45639,14.74,0.13,1235,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,190,0.00
45826,14.69,0.13,1228,0.00,0.00,16,10.59,11.50,5.23,-1.39,0.64,190,0.00
46018,14.69,0.13,1235,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,190,0.00
46206,14.71,0.13,1237,0.00,0.00,16,10.59,10.00,5.23,-1.39,0.64,190,0.00
46398,14.58,0.13,1241,0.00,0.00,16,10.59,10.00,5.21,-1.39,0.64,190,0.00
46590,14.62,0.13,1241,0.00,0.00,16,10.59,10.50,5.21,-1.39,0.64,190,0.00
46793,14.66,0.13,1242,0.00,0.00,16,10.59,10.00,5.23,-1.39,0.64,190,0.00
46981,14.74,0.13,1242,0.00,0.00,16,10.59,10.00,5.30,-1.39,0.64,190,0.00
47168,14.74,0.13,1243,0.00,0.00,16,10.59,10.00,5.23,-1.39,0.64,190,0.00
47356,14.63,0.13,1240,0.00,0.00,16,10.59,9.50,5.23,-1.39,0.64,190,0.00
47543,14.53,0.13,1239,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,190,0.00
47735,14.63,0.13,1242,0.00,0.00,16,10.59,9.50,5.23,-1.39,0.64,190,0.00
